R12,urt,arch,mat,eneff,material,scenario,year,floor_tot_Mm2,floor_new_Mm2,floor_dem_Mm2,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
PAO,urb,comm,perm,sr22_low,copper,SSP2,2040,13.45417710618,0,0.093593829766,9.127735806368333e-4,0,6.349699015169416e-6
PAO,urb,comm,perm,sr22_low,copper,SSP2,2045,15.78458262678,0,0.11853503207800001,0.0010708756016364555,0,8.041788420567148e-6
PAO,urb,comm,perm,sr22_low,copper,SSP2,2050,17.68295083994,0,0.137536680242,0.0011996668563983145,0,9.330919840183198e-6
PAO,urb,comm,perm,sr22_low,copper,SSP2,2055,19.21850423907,0,0.150896088426,0.0013038436160263066,0,1.0237263999849232e-5
PAO,urb,comm,perm,sr22_low,copper,SSP2,2060,20.45345749576,0,0.159126535456,0.0013876267190085225,0,1.0795643345276765e-5
PAO,urb,comm,perm,sr22_low,copper,SSP2,2070,22.32663567481,0,0.159116457918,0.0015147090028352222,0,1.0794959653485609e-5
PAO,urb,comm,perm,sr22_low,copper,SSP2,2080,23.51201910358,0,0.155430804423,0.001595129133190795,0,1.0544913358489795e-5
PAO,urb,comm,perm,sr22_low,copper,SSP2,2090,24.2804163816,0,0.141972447781,0.001647259614993933,0,9.631856225031729e-6
PAO,urb,comm,perm,sr22_low,copper,SSP2,2100,24.81103835735,0,0.12347021333,0.0016832586743899508,0,8.376606598366415e-6
PAO,urb,comm,perm,sr22_low,glass,SSP2,2025,3.09768485992,0,0,0.018305302598935532,0,0
PAO,urb,comm,perm,sr22_low,glass,SSP2,2030,7.19158512651,0,0.026416549188000002,0.04249759025202113,0,1.5610462276607862e-4
PAO,urb,comm,perm,sr22_low,glass,SSP2,2035,10.61643799913,0,0.062735811872,0.06273624299598095,0,3.707278409645939e-4
PAO,urb,comm,perm,sr22_low,glass,SSP2,2040,13.45417710618,0,0.093593829766,0.07950543528002914,0,5.530786547809566e-4
PAO,urb,comm,perm,sr22_low,glass,SSP2,2045,15.78458262678,0,0.11853503207800001,0.09327661606886979,0,7.004649371654795e-4
PAO,urb,comm,perm,sr22_low,glass,SSP2,2050,17.68295083994,0,0.137536680242,0.1044947373941591,0,8.127523179836531e-4
PAO,urb,comm,perm,sr22_low,glass,SSP2,2055,19.21850423907,0,0.150896088426,0.11356885916541784,0,8.916977305770863e-4
PAO,urb,comm,perm,sr22_low,glass,SSP2,2060,20.45345749576,0,0.159126535456,0.12086662962352546,0,9.403343189395807e-4
PAO,urb,comm,perm,sr22_low,glass,SSP2,2070,22.32663567481,0,0.159116457918,0.13193589423235944,0,9.402747672450461e-4
PAO,urb,comm,perm,sr22_low,glass,SSP2,2080,23.51201910358,0,0.155430804423,0.13894073925069966,0,9.184949524634542e-4
PAO,urb,comm,perm,sr22_low,glass,SSP2,2090,24.2804163816,0,0.141972447781,0.14348146735133602,0,8.389648188453539e-4
PAO,urb,comm,perm,sr22_low,glass,SSP2,2100,24.81103835735,0,0.12347021333,0.14661709807911752,0,7.296286482218672e-4
PAO,urb,comm,perm,sr22_low,steel,SSP2,2025,3.09768485992,0,0,0.33233491203209464,0,0
PAO,urb,comm,perm,sr22_low,steel,SSP2,2030,7.19158512651,0,0.026416549188000002,0.771548727023105,0,0.0028340977044424747
PAO,urb,comm,perm,sr22_low,steel,SSP2,2035,10.61643799913,0,0.062735811872,1.1389838373120287,0,0.006730607360840963
PAO,urb,comm,perm,sr22_low,steel,SSP2,2040,13.45417710618,0,0.093593829766,1.4434304867158199,0,0.01004120773693995
PAO,urb,comm,perm,sr22_low,steel,SSP2,2045,15.78458262678,0,0.11853503207800001,1.6934478863901399,0,0.012717022950934076
PAO,urb,comm,perm,sr22_low,steel,SSP2,2050,17.68295083994,0,0.137536680242,1.8971141925686663,0,0.014755613497298058
PAO,urb,comm,perm,sr22_low,steel,SSP2,2055,19.21850423907,0,0.150896088426,2.06185593580514,0,0.01618887670656627
PAO,urb,comm,perm,sr22_low,steel,SSP2,2060,20.45345749576,0,0.159126535456,2.194347812960268,0,0.01707187966309378
PAO,urb,comm,perm,sr22_low,steel,SSP2,2070,22.32663567481,0,0.159116457918,2.3953116080220735,0,0.01707079849510666
PAO,urb,comm,perm,sr22_low,steel,SSP2,2080,23.51201910358,0,0.155430804423,2.522485389519897,0,0.0166753834075715
PAO,urb,comm,perm,sr22_low,steel,SSP2,2090,24.2804163816,0,0.141972447781,2.604922839855975,0,0.015231504519636094
PAO,urb,comm,perm,sr22_low,steel,SSP2,2100,24.81103835735,0,0.12347021333,2.661850582866517,0,0.013246493539910715
PAO,urb,comm,perm,sr22_low,wood,SSP2,2025,3.09768485992,0,0,0.18440262396614393,0,0
PAO,urb,comm,perm,sr22_low,wood,SSP2,2030,7.19158512651,0,0.026416549188000002,0.42810912916383165,0,0.0015725553781877322
PAO,urb,comm,perm,sr22_low,wood,SSP2,2035,10.61643799913,0,0.062735811872,0.6319877949960377,0,0.0037346111205585745
PAO,urb,comm,perm,sr22_low,wood,SSP2,2040,13.45417710618,0,0.093593829766,0.8009160627620739,0,0.005571563466380732
PAO,urb,comm,perm,sr22_low,wood,SSP2,2045,15.78458262678,0,0.11853503207800001,0.9396431807023172,0,0.007056292662275123
PAO,urb,comm,perm,sr22_low,wood,SSP2,2050,17.68295083994,0,0.137536680242,1.0526514741830377,0,0.008187445100168226
PAO,urb,comm,perm,sr22_low,wood,SSP2,2055,19.21850423907,0,0.150896088426,1.1440617011249148,0,0.008982719647182023
PAO,urb,comm,perm,sr22_low,wood,SSP2,2060,20.45345749576,0,0.159126535456,1.2175774495974858,0,0.009472671368347603
PAO,urb,comm,perm,sr22_low,wood,SSP2,2070,22.32663567481,0,0.159116457918,1.3290862011306757,0,0.009472071460824934
PAO,urb,comm,perm,sr22_low,wood,SSP2,2080,23.51201910358,0,0.155430804423,1.399651098644756,0,0.009252667549116
PAO,urb,comm,perm,sr22_low,wood,SSP2,2090,24.2804163816,0,0.141972447781,1.4453931546391123,0,0.008451502682034888
PAO,urb,comm,perm,sr22_low,wood,SSP2,2100,24.81103835735,0,0.12347021333,1.4769806430658485,0,0.007350079930435392
PAO,urb,comm,perm,sr31_std,aluminum,SSP2,2025,38.79918956539,0,0,0.0774093681416276,0,0
PAO,urb,comm,perm,sr31_std,aluminum,SSP2,2030,92.1224520292,0,0.16210991067,0.18379612778301316,0,3.234300998300828e-4
PAO,urb,comm,perm,sr31_std,aluminum,SSP2,2035,138.57450970235,0,0.469269245532,0.27647395104776934,0,9.362524370182752e-4
PAO,urb,comm,perm,sr31_std,aluminum,SSP2,2040,178.27027772347,0,0.821092737222,0.35567210840187485,0,0.001638185505573861
PAO,urb,comm,perm,sr31_std,aluminum,SSP2,2045,211.49716951226,0,1.187876469592,0.42196402654479487,0,0.0023699661763927297
PAO,urb,comm,perm,sr31_std,aluminum,SSP2,2050,238.68288986348,0,1.544114637596,0.47620303149401516,0,0.003080707091396773
PAO,urb,comm,perm,sr31_std,aluminum,SSP2,2055,260.35927001658,0,1.869489249772,0.5194501949024481,0,0.0037298712471434403
PAO,urb,comm,perm,sr31_std,aluminum,SSP2,2060,277.12536665225,0,2.149291645228,0.5529007118154716,0,0.004288112975369731
PAO,urb,comm,perm,sr31_std,aluminum,SSP2,2070,299.58441479323,0,2.402637460589,0.5977093984176909,0,0.00479357042713863
PAO,urb,comm,perm,sr31_std,aluminum,SSP2,2080,309.0217266249,0,2.6570833009809998,0.616538048037134,0,0.005301222570176688
PAO,urb,comm,perm,sr31_std,aluminum,SSP2,2090,310.13195648988,0,2.683848693233,0.6187530992612124,0,0.005354622966563791
PAO,urb,comm,perm,sr31_std,aluminum,SSP2,2100,306.5646790948,0,2.537958573934,0.6116359225306608,0,0.005063553434453867
PAO,urb,comm,perm,sr31_std,cement,SSP2,2025,38.79918956539,0,0,5.82334178626627,0,0
PAO,urb,comm,perm,sr31_std,cement,SSP2,2030,92.1224520292,0,0.16210991067,13.826590976876707,0,0.024330957098511092
PAO,urb,comm,perm,sr31_std,cement,SSP2,2035,138.57450970235,0,0.469269245532,20.798546101099316,0,0.07043227544509854
PAO,urb,comm,perm,sr31_std,cement,SSP2,2040,178.27027772347,0,0.821092737222,26.756454687456067,0,0.12323720419484901
PAO,urb,comm,perm,sr31_std,cement,SSP2,2045,211.49716951226,0,1.187876469592,31.74345440442976,0,0.17828750445004343
PAO,urb,comm,perm,sr31_std,cement,SSP2,2050,238.68288986348,0,1.544114637596,35.82373914966133,0,0.23175502871635306
PAO,urb,comm,perm,sr31_std,cement,SSP2,2055,260.35927001658,0,1.869489249772,39.07713108218613,0,0.280590264619447
